"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","E-00002888","NF63-SV 3P 50A (U)","","個","2022/11","5350","5350","4510","2.0000","2.0000","2","840","15.7"
"DNK-E","電力機器事業部","E-00002888","NF63-SV 3P 50A (U)","","個","2023/01","2680","2680","2410","1.0000","1.0000","1","270","10.1"
"DNK-E","電力機器事業部","E-00002917","NF63-SV 4P 30A (A)","","個","2023/02","9520","9520","7320","2.0000","2.0000","2","2200","23.1"
"DNK-E","電力機器事業部","E-00002921","NF63-SV 4P 40A (A)","","個","2023/02","9520","9520","7320","2.0000","2.0000","1","2200","23.1"
"DNK-E","電力機器事業部","E-00002925","NF63-SV 4P 50A (A)","","個","2023/02","4760","4760","3660","1.0000","1.0000","1","1100","23.1"
"DNK-E","電力機器事業部","E-00003041","NF125-HV 3P 60A (A)","","個","2022/07","38800","38800","30360","4.0000","4.0000","1","8440","21.8"
"DNK-E","電力機器事業部","E-00003048","NF125-HV 3P 75A (U)","","個","2022/10","13310","13310","7390","1.0000","1.0000","1","5920","44.5"
"DNK-E","電力機器事業部","E-00003101","NF63-HRV 2P 15A (A)","","個","2023/02","8860","8860","5670","1.0000","1.0000","1","3190","36"
"DNK-E","電力機器事業部","E-00003101","NF63-HRV 2P 15A (A)","","個","2023/04","6180","6180","4750","1.0000","1.0000","1","1430","23.1"
"DNK-E","電力機器事業部","E-00003108","NF63-HRV 2P 20A (U)","","個","2022/05","4540","4540","4100","1.0000","1.0000","1","440","9.7"
"DNK-E","電力機器事業部","E-00003137","NF63-HRV 3P 50A (A)","","個","2023/04","7820","7820","5990","1.0000","1.0000","1","1830","23.4"
"DNK-E","電力機器事業部","E-00003145","NF63-HV 2P 15A (A)","","個","2023/04","6080","6080","4680","2.0000","2.0000","1","1400","23"
"DNK-E","電力機器事業部","E-00003148","NF63-HV 2P 15A (U)","","個","2022/05","8960","8960","8080","4.0000","4.0000","2","880","9.8"
"DNK-E","電力機器事業部","E-00003164","NF63-HV 2P 50A (U)","","個","2023/02","2570","2570","2320","1.0000","1.0000","1","250","9.7"
"DNK-E","電力機器事業部","E-00003185","NF63-HV 3P 30A (A)","","個","2023/03","8220","8220","6300","2.0000","2.0000","1","1920","23.4"
"DNK-E","電力機器事業部","E-00003188","NF63-HV 3P 30A (U)","","個","2023/02","6960","6960","6260","2.0000","2.0000","1","700","10.1"
"DNK-E","電力機器事業部","E-00003189","NF63-HV 3P 40A (A)","","個","2023/03","4110","4110","3150","1.0000","1.0000","1","960","23.4"
"DNK-E","電力機器事業部","E-00003193","NF63-HV 3P 50A (A)","","個","2023/04","4110","4110","3160","1.0000","1.0000","1","950","23.1"
"DNK-E","電力機器事業部","E-00003196","NF63-HV 3P 50A (U)","","個","2023/02","3480","3480","3130","1.0000","1.0000","1","350","10.1"
"DNK-E","電力機器事業部","E-00003204","NF63-HV 3P 60A (U)","","個","2022/11","6400","6400","4070","1.0000","1.0000","1","2330","36.4"
"DNK-E","電力機器事業部","E-00003593","NF32-SVF 3P 30A AL-SLT(A)","","個","2022/05","2580","2580","2010","1.0000","1.0000","1","570","22.1"
"DNK-E","電力機器事業部","E-00003806","NF63-SVF 3P 30A AL-SLT(B)","","個","2022/10","7440","7440","6740","2.0000","2.0000","1","700","9.4"
"DNK-E","電力機器事業部","E-00003941","NF125-SV 3P 100A AL(A)","","個","2022/11","8550","8550","5840","1.0000","1.0000","1","2710","31.7"
"DNK-E","電力機器事業部","E-00004049","NF125-SV 3P 100A AL-SLT(A)","","個","2022/11","37080","37080","24280","4.0000","4.0000","1","12800","34.5"
"DNK-E","電力機器事業部","E-00004052","NF125-SV 3P 100A AL-SLT(U)","","個","2022/09","6560","6560","5910","1.0000","1.0000","1","650","9.9"
"DNK-E","電力機器事業部","E-00004081","NF125-SV 3P 75A AL-SLT(A)","","個","2022/11","18540","18540","12140","2.0000","2.0000","1","6400","34.5"
